solution, training, test, reduction, time
1001, 0.92, 1.0, 0.5, 0.004865
1001, 1.0, 0.92, 0.5, 0.005066
0001, 0.9733333333333334, 0.9333333333333333, 0.75, 0.005013
1110, 0.9733333333333334, 0.92, 0.25, 0.00807
0110, 0.9733333333333334, 0.9333333333333333, 0.5, 0.004692
0001, 0.9866666666666667, 0.9066666666666666, 0.75, 0.008014
1110, 0.9733333333333334, 0.9333333333333333, 0.25, 0.005279
1010, 0.9333333333333333, 0.9466666666666667, 0.5, 0.004397
0011, 1.0, 0.88, 0.5, 0.004679
1010, 0.92, 0.9866666666666667, 0.5, 0.003935
